URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/la-bio-bill-shaikin-staff.html,97678,181,text/html
http://www.latimes.com/travel/cruises/la-tr-cruises-national-geographic-endurance-20180928-story.html,196479,153,text/html
http://www.latimes.com/opinion/lanews-patt-morrison-20130507-staff.html,95789,181,text/html
http://www.latimes.com/sports/boxing/,243832,208,text/html
http://www.latimes.com/la-bio-joel-rubin-staff.html,98870,181,text/html
http://www.latimes.com/la-bio-jaweed-kaleem-staff.html,100046,182,text/html
http://www.latimes.com/business/la-fi-umansky-sweetwater-20180930-story.html,135188,152,text/html
http://www.latimes.com/la-bio-robert-lloyd-staff.html,99323,181,text/html
http://www.latimes.com/la-bio-evan-halper-staff.html,98600,182,text/html
http://www.latimes.com/politics/la-pol-ca-police-misconduct-rules-changed-20180930-story.html,219323,161,text/html
http://www.latimes.com/politics/la-na-pol-kavanaugh-hearing-20180927-story.html,271581,157,text/html
http://www.latimes.com/business/hiltzik/,162320,207,text/html
http://www.latimes.com/la-bio-yvonne-villarreal-staff.html,99111,181,text/html
http://www.latimes.com/la-bio-molly-hennessy-fiske-staff.html,99948,186,text/html
http://www.latimes.com/la-bio-mike-digiovanna-staff.html,96102,181,text/html
http://www.latimes.com/la-bio-ricardo-dearatanha-staff.html,68052,161,text/html
http://www.latimes.com/business/realestate/hot-property/,200616,207,text/html
http://www.latimes.com/93907346-132.html,74651,146,text/html
http://www.latimes.com/la-bio-scott-martelle-staff.html,100031,181,text/html
http://www.latimes.com/entertainment/tv/la-et-st-the-neighborhood-happy-together-review-20180928-story.html,221531,155,text/html
https://www.latimes.com/la-bio-nina-agrawal-staff.html,96753,182,text/html
http://www.latimes.com/world/europe/la-fg-ukraine-separatists-20181001-story.html,128995,150,text/html
http://www.latimes.com/la-bio-david-zahniser-staff.html,97854,181,text/html
http://www.latimes.com/opinion/editorials/,156153,207,text/html
http://www.latimes.com/la-bio-robert-greene-staff.html,96500,181,text/html
http://www.latimes.com/la-bio-maloy-moore-staff.html,97202,191,text/html
http://www.latimes.com/about/lat-colin-crawford-deputy-managing-editor-visual-journalism-story.html,111439,150,text/html
http://www.latimes.com/la-bio-alan-zarembo-staff.html,96876,181,text/html
http://www.latimes.com/la-bio-jon-healey-staff.html,99210,181,text/html
http://www.latimes.com/brandpublishing/livingplus/,60167,39,text/html
http://www.latimes.com/local/la-bio-robin-abcarian-staff.html,98515,181,text/html
http://www.latimes.com/la-bio-don-lee-staff.html,98502,182,text/html
